呵	;kk;kk;kk;dz;ks;kk;kh;kh
德	;rx;ix;xx;wh;tf;rx;ph;rf
锝	;jc;jc;jc;zk;qj;jc;jl;jl
嘚	;kc;kc;kd;dk;kt;kc;kp;kr
扽	;ft;ft;ft;us;rg;ft;fh;fh
等	;vc;vc;vs;rk;tf;vc;gd;gc
灯	;hd;hd;hd;ca;os;hd;qh;qh
登	;dd;va;dd;hz;wg;vd;vh;vh
邓	;ye;ye;ey,ye;rt;cb;ye;vv;ye
蹬	;zd;za;zd;pz;kh;zd;zv;zv
凳	;jd;vj;jd;ho;wg;dj;vv;vj
瞪	;od;oa;od;qz;hw;md;sv;lv
噔	;kd;ka;kd;dz;kw;kd;kv;kv
镫	;jd;ja;jd;zz;qw;jd;jv;jv
戥	;og;og;gx;op;jt;og;lh;lh
磴	;ud;ua;ud;mz;dw;ud;hv;bv
嶝	;ud;ea;ud;vz;mw;sd;sv;gv
璒	;wd;wa;wd;nz;gw;wd;wv;wv
第	;vp;vp;vp;rt;tx;vp;gp;gp
低	;rd;rd;rd;ji;wq;rd;rp;rp
滴	;dg;dk;dd,dg;kc;iu;dk;ud;uw
帝	;wj;wj;jb,wj,lj;ir;up;wj;ds;wj
迪	;zy;zy;zy;du;mp;zy;sz;sz
敌	;qw;qw;wu,uw;ah;td;qw;pp;pw
蒂	;cj;cj;cd;lr;au;cj;cs;cj
抵	;fd;fd;fd;ui;rq;fd;fp;fp
笛	;vy;vy;vy;rd;tm;vy;gh;gh
递	;zd;zp;zd;hu;ux;zd;dz;dz
狄	;qh;qh;qh;mc;qt;qh;pq;qq
镝	;jg;jk;jd,jg;zc;qu;jk;jd;jw
氐	;ud;ud;pd,ud;bi;qa;ud;pd;pd
嫡	;ng;nk;nd,ng;bc;vu;nk;nd;nw
堤	;tr;tr;tu;gt;fj;tr;tl;tl
骶	;gd;gd;gd;fi;me;gd;sp;sp
邸	;ue;de;ed;bt;qa;ue;pv;pe
碲	;uj;uj;ud;mr;du;uj;hd;bw
嘀	;kg;kk;kd,kg;dc;ku;kk;kd;kw
睇	;od;op;od;qt;hu;md;sd;ld
禘	;pj;pj;ud;fr;py;pj;dd;dw
谛	;yj;yj;yd;sr;yu;yj;ad;aw
籴	;rm;rm;rm;jp;ty;rm;pm;pm
砥	;ud;ud;ud;mi;dq;ud;hp;bp
鞮	;gu;gr;gu;tt;af;cr;cl;cl
涤	;dm;dm;dt;ke;it;dx;up;uw
荻	;ch;ch;cd;lc;aq;ch;cq;cq
菂	;cu;cu;cd;li;ar;cu;cd;cd
娣	;nd;np;nd;bt;vu;nd;nd;nd
诋	;yd;yd;yd;si;yq;yd;ap;ap
觌	;uj;ue;jm;ne;fn;uj;hs;fs
羝	;yd;yd;yd;gi;ud;ed;dp;dp
翟	;yv;xf;yv;zu;nw;xa;vh;vq
髢	;iy;ay;iy;pe;de;iy;hv;hv
缔	;sj;sj;sd;ir;xu;sj;id;iw
踶	;zr;zr;zu;pt;kh;zr;zl;zl
提	;fr;fr;fu;ut;rj;fr;fl;fl
玓	;wu;wu;wu;ni;gq;wu;wp;wb
䃅	;ud;ul;ud;mn;du;ud;hd;bd
䗖	;ij;ij;id;cr;jg;ij;oc;oc
𤧛	;wj;wj;wd;nr;gu;wj;wd;ww
𬱖	;yy;yr;yy;dw;md;yr;
嗲	;kx;kx;kd;dl;kw;kx;kp;kb
点	;hv;lh;hv;yc;hk;ve;sq;sq
店	;gk;gk;gv;xd;yh;gk;dk;xk
电	;og;lv;ag,og;oa;jn;av;lv;lv
垫	;ft;ft;tv;ug;rv;ft;ft;ft
碘	;ub;ub;ud;mh;dm;ub;hs;bs
殿	;uy;uy;ug;cr;na;uy;vp;sj
颠	;ur;ur;yv;nw;fh;ur;hh;fh
典	;bd;lb;ba,bd;ih;ma;ab;sd;sb
滇	;db;db;dv;kh;if;db;uh;uf
掂	;fk;fk;fd;ud;ry;fk;fd;fx
簟	;vu;vu;vt;rn;ts;vu;gs;gf
癫	;br;br;bd;aw;uf;br;dr;zb
巅	;ud;er;ud;vw;mf;sr;sr;gb
奠	;bd;bd;dq,qd;hm;us;ed;dd;dl
靛	;qd;fr;qd;at;ge;qr;hb;qb
踮	;zk;zk;zd;pd;kh;zk;zd;zx
淀	;dr;dr;dd;kt;ip;dr;ub;ub
玷	;wk;wk;wv;nd;gh;wk;ws;ws
惦	;xk;xk;xd;hd;ny;xk;xd;xx
坫	;tk;tk;tv;gd;fh;tk;ts;ts
癜	;bu;by;bd,bu;ar;un;by;dd;zy
扂	;hk;hk;hv;md;yn;hk;dk;dk
琔	;wr;wr;wd;nt;gp;wr;wb;wb
掉	;fu;fu;fv;un;rh;fu;fs;fs
吊	;kj;kj;kj;dr;km;kj;ks;kj
屌	;uj;uj;ud;cr;nk;uj;vs;sj
叼	;kd;kd;kd;df;kn;kd;kv;kv
钓	;ju;ju;ju;zi;qq;ju;jp;jb
雕	;vv;kf;vv;mu;mf;va;pr;pr
刁	;va;va;ga;af;ng;va;vh;vh
貂	;vk;vk;vv;md;ee;pk;pv;po
凋	;dk;dk;dv;wd;um;dk;dp;dp
鲷	;yv;ak;yv;wd;qg;ek;pp;gp
碉	;uk;uk;uv;md;dm;uk;hp;bp
窎	;bn;bn;xn,bn;ex;pw;gn;bh;bn
铞	;jj;jj;jd;zr;qk;jj;jk;jk
汈	;dd;dd;dd;kf;in;dd;uv;uv
跌	;zu;zu;zu;ph;kh;zu;zp;zp
爹	;bx;bx;fd;hl;wq;bx;pd;bd
叠	;yq;yq;qr,qu,yy;rf;cc;yq;vh;yh
碟	;um;um;um,uy;me;da;ul;hc;bc
蝶	;im;im;im,iy;ce;ja;il;oc;oc
迭	;zu;zu;zu;tu;rw;zu;pz;pz
谍	;ym;ym;ym;se;ya;yl;ac;ac
牒	;pm;pm;pm,py;ae;th;pl;pc;pc
鲽	;ym;am;ym;we;qg;el;pc;gc
喋	;km;km;km,ky;de;ka;kl;kc;kc
堞	;tm;tm;tm,ty;ge;fa;tl;tc;tc
瓞	;gu;gu;gu;yh;rc;gu;pd;pl
耋	;lt;lt;lv;qy;ft;ut;tt;tt
垤	;tt;tt;tv;gy;fg;tt;th;th
绖	;st;st;sv;iy;xg;st;ih;ih
蹀	;zm;zm;zm;pe;kh;zl;zc;zc
𫶇	;ud;ej;ud;vr;mg;sj;
定	;bp;br;bp;wt;pg;gr;bd;br
顶	;dr;dr;dy,yd;aw;sd;dr;hh;hh
盯	;od;od;od;qa;hs;md;sh;lh
订	;yd;yd;yd;sa;ys;yd;ah;ah
钉	;jd;jd;jd;za;qs;jd;jh;jh
鼎	;od;ov;oa,od;qa;hn;mv;sv;lv
叮	;kd;kd;kd;da;ks;kd;kh;kh
碇	;ur;ur;ud;mt;dp;ur;hb;bb
腚	;or;or;od;vt;ep;or;yb;yb
锭	;jr;jr;jd;zt;qp;jr;jb;jb
玎	;wd;wd;wd;na;gs;wd;wh;wh
啶	;kr;kr;kd;dt;kp;kr;kb;kb
酊	;yd;yd;yd;ya;sg;yd;hh;sh
仃	;rd;rd;rd;ja;ws;rd;rh;rh
疔	;bd;bd;bd;aa;us;bd;ds;zs
耵	;ed;ed;ed;qa;bs;ed;hh;hh
萣	;cr;cr;cd;lt;ap;cr;cr;cr
丢	;pq;ps;pq,ps;tk;tf;pv;pd;pi
铥	;jd;js;jd;zk;qt;jv;jp;jp
懂	;xv;xv;xd;hd;na;xv;xc;xc
动	;el;el;ly,yl;bs;fc;el;hv;hl
东	;ad;ad;ad,qx;ry;ai;ad;hd;hx
洞	;dk;dk;dt;kd;im;dk;us;us
冻	;dd;dd;dd;wy;ua;dd;dh;dh
冬	;wd;wd;wd;hw;tu;wd;pd;wd
董	;cv;cv;cv;ld;at;cv;ct;ct
栋	;md;md;md;ey;sa;ld;mh;mh
咚	;kd;kd;kd;dw;kt;kd;kp;kw
氡	;qd;qd;qd;vw;rn;qd;pd;pd
鸫	;dn;dn;nd;rx;ai;dn;hp;hn
胴	;ok;ok;ot;vd;em;ok;ys;ys
峒	;ut;ek;ut;vd;mm;sk;ss;gs
恫	;xk;xk;xt;hd;nm;xk;xs;xs
硐	;uk;uk;ut;md;dm;uk;hs;bs
岽	;ud;ed;ud;vy;ma;sd;sd;gx
垌	;tk;tk;tt;gd;fm;tk;ts;ts
胨	;od;od;od;vy;ea;od;yh;yh
𬟽	;id;id;id;cy;ja;id;
都	;le;le;ev;qt;ft;ue;tv;te
斗	;du;du;du;jd;uf;du;ds;df
抖	;fd;fu;fd;uj;ru;fu;fd;fd
豆	;aa;aa;aa,aq;zd;gk;aa;hh;hh
逗	;zd;za;zd;zu;gk;zd;hz;hz
兜	;pe;pe;ek,be;up;qr;pe;pv;pv
痘	;bd;ba;bd;az;ug;bd;dh;zh
陡	;er;er;ez;tp;bf;er;vt;et
窦	;bd;bd;xm,bm;em;pw;gd;bd;bl
读	;yd;yd;ym;sm;yf;yd;ah;af
蔸	;ce;ce;cd,ce;lp;aq;ce;cv;cv
蚪	;id;iu;id;cj;ju;iu;od;od
钭	;jd;ju;jd;zj;qu;ju;jd;jd
篼	;ve;ve;vd,ve;rp;tq;ve;gv;gv
度	;gy;gy;gy;xr;ya;gy;dd;xy
赌	;bo;ko;bv;oo;mf;bo;st;bt
堵	;to;to;tv;go;ff;to;tt;tt
杜	;mt;mt;mt;eg;sf;lt;mt;mt
独	;qi;qi;qi;mc;qt;qi;po;qo
渡	;dy;dy;dd;kr;iy;dy;ud;ux
督	;uo;uo;ou;yq;hi;um;sh;sl
肚	;ot;ot;ot;vg;ef;ot;yt;yt
镀	;jy;jy;jd;zr;qy;jy;jd;jx
笃	;vm;vm;vm;rn;tc;vm;gh;gh
嘟	;ke;ke;kd;dt;kf;ke;kt;kt
蠹	;ai;ai;ai,iu;nc;gk;ai;ho;ho
睹	;oo;oo;ov;qo;hf;mo;st;lt
妒	;nh;nh;nh;bm;vy;nh;nd;nd
犊	;nd;nd;nm;qm;tr;nd;ph;pf
椟	;md;md;mm;em;sf;ld;mh;mf
牍	;pd;pd;pm;am;th;pd;ph;pf
阇	;mo;mo;mv;ao;uf;mo;dl;ml
厾	;zd;vs;yq,zd;ak;nf;vv;vd;vi
芏	;ct;ct;ct;lg;af;ct;ct;ct
黩	;hd;hd;hm;pm;lf;hd;sh;sf
髑	;gi;gi;gi,gu;fc;me;gi;ss;ss
𬭊	;jt;jt;jd;zg;qs;jt;
端	;le;le;le;il;um;le;ds;wg
段	;pu;py;du;ur;wd;py;pp;pj
短	;ud;ua;ud;oz;td;ud;ph;ph
断	;vj;mj;ja,jm,jv;pt;on;vj;dp;jp
椴	;md;my;md;er;sw;ly;mp;mp
锻	;jy;jy;jd;zr;qw;jy;jp;jp
缎	;sy;sy;sd;ir;xw;sy;ip;ip
煅	;hy;hy;hd;cr;ow;hy;qp;qp
塅	;ty;ty;td;gr;fw;ty;tp;tp
簖	;vj;vj;vd;rt;to;vj;gs;gs
瑖	;wy;wy;wd;nr;gw;wy;wp;wp
对	;yc;yc;cy,yc;rk;cf;yc;vh;yc
队	;er;er;er;tj;bw;er;vr;er
怼	;yx;yx;xd;rh;cf;yx;vx;yx
堆	;tv;tf;tv;gu;fw;ta;tr;tr
碓	;uv;uf;uv;mu;dw;ua;hr;br
祋	;py;py;uu;fr;py;py;dp;dj
吨	;kt;kt;kt;ds;kg;kt;kh;kh
盾	;po;po;po;xq;rf;pm;ph;pl
炖	;ht;ht;ht;cs;og;ht;qh;qh
惇	;xz;xz;xx;hh;ny;xz;xd;xw
墩	;tw;tw;td;gh;fy;tw;td;tw
遁	;zo;zo;zd;xu;rf;zm;pz;pz
钝	;jt;jt;jt;zs;qg;jt;jh;jh
趸	;wr;wr;zw;fp;dn;wr;hz;hz
囤	;kt;kt;kt;rs;lg;wt;sh;sv
盹	;ot;ot;ot;qs;hg;mt;sh;lh
沌	;dt;dt;dt;ks;ig;dt;uh;uh
礅	;uw;uw;ud;mh;dy;uw;hd;bw
蹾	;zw;zw;zd;ph;kh;zw;zd;zw
砘	;ut;ut;ut;ms;dg;ut;hh;bh
多	;xx;xx;xx;ll;qq;xx;pd;pd
躲	;um;um;ud;ze;tm;ul;pp;pj
夺	;dc;dc;dc,cd;mk;df;dc;hd;lc
剁	;jd;jd;dd;op;ms;jd;ps;jo
朵	;jm;jm;mj,jm;oe;ms;jl;pm;jm
舵	;vb;vb;vt;iv;te;vb;pb;vb
跺	;zm;zm;zd;pe;kh;zl;zp;zj
铎	;jf;jl;jf;zu;qc;ja;jv;jy
哆	;kx;kx;kd;dl;kq;kx;kp;kp
踱	;zy;zy;zd;pr;kh;zy;zd;zx
惰	;xo;xo;xo;hv;nd;xo;xh;xh
垛	;tm;tm;td;ge;fm;tl;tp;tj
咄	;ki;ki;ki;dm;kb;ki;kv;kv
掇	;fy;fy;fu,fv;ur;rc;fy;fv;fy
埵	;ti;ti;ti;gg;ft;ti;tp;tp
亸	;xd;wl;dx,xd;gn;yb;wd;dd;wd
驮	;md;md;md;nm;cd;md;vh;vl
哚	;km;km;kd;de;km;kl;kp;kj
剟	;yd;yd;du,dv;rp;cc;yd;vs;yo
裰	;py;py;yu,yv;tr;pu;py;dv;dy
饳	;ui;ui;ui;qm;qn;ui;pv;sv
㙍	;ty;ty;tv;gr;fc;ty;tv;ty
额	;yk;br;yk;ww;pt;gr;bh;bh
恶	;yx;yx;xy;fh;go;yx;hx;hx
呃	;kv;kv;ke;dz;kd;kv;kh;kh
俄	;rw;rw;rw;jp;wt;rg;rp;rp
饿	;uw;uw;uw;qp;qn;ug;pp;sp
鹅	;wn;wn;nw;tx;tr;wn;pp;pn
厄	;iv;iv;ie;xz;db;iv;hv;hv
讹	;yb;yb;yh;sv;yw;yb;ar;ar
鳄	;yk;ak;ye,yk;wa;qg;ek;pk;gk
鄂	;ke;ke;ee,ek;dt;kk;ke;kv;ke
娥	;nw;nw;nw;bp;vt;ng;np;np
颚	;kr;kr;ye,yk;dw;kk;kr;kh;kh
腭	;ok;ok;oe,ok;va;ek;ok;yk;yk
锇	;jw;jw;jw;zp;qt;jg;jp;jp
扼	;fv;fv;fe;uz;rd;fv;fh;fh
轭	;iv;iv;ie;yz;ld;iv;hh;ch
莪	;cw;cw;cw;lp;at;cg;cd;cd
遏	;zv;zv;zh;ou;jq;zv;lz;lz
谔	;yk;yk;ye,yk;sa;yk;yk;ak;ak
屙	;uk;uk;ua;cz;nb;uk;vs;ss
萼	;ck;ck;ce,ck;la;ak;ck;cv;cv
锷	;jk;jk;je,jk;za;qk;jk;jk;jk
鹗	;kn;kn;ne,nk;dx;kk;kn;kp;kn
愕	;xk;xk;xe,xk;ha;nk;xk;xk;xk
峨	;uw;ew;uw;vp;mt;sg;sp;gp
涐	;dw;dw;dw;kp;it;dg;up;up
垩	;yt;yt;ty;fg;go;yt;ht;ht
崿	;ue;ek;ue;va;mk;sk;sk;gk
噩	;wk;wk;wk;nd;gk;aa;hh;hh
哦	;kw;kw;kw;dp;kt;kg;kp;kp
婀	;nk;nk;na;bz;vb;nk;nv;ne
苊	;cv;cv;ce;lz;ad;cv;cv;cv
𥔲	;uk;uk;ue,uk;ma;dk;uk;hk;bk
𫫇	;kx;kx;ke;dh;kg;kx;
嗯	;kx;kx;ke;dh;kl;kx;kk;ks
恩	;xy;kx;xy;rh;ld;wx;sx;sx
摁	;fx;fx;fe;uh;rl;fx;fk;fs
蒽	;cx;cx;ce;lh;al;cx;cx;cx
而	;aa;al;aa;le;dm;aa;hs;hs
二	;aa;aa;aa;me;fg;aa;hh;hh
儿	;pv;pv;pg;pe;qt;pv;pv;pv
耳	;aa;aa;aa;qe;bg;aa;hh;hh
尔	;dx;dx;dx,xd;xy;qi;ex;pd;gx
贰	;yb;yr;by,yb;po;af;rg;hd;hd
饵	;ue;ue;ue;qq;qn;ue;ph;sh
迩	;zx;zx;ze;xu;qi;zx;pz;gz
铒	;je;je;je;zq;qb;je;jh;jh
珥	;we;we;we;nq;gb;we;wh;wh
鸸	;en;en;ne;lx;dm;en;hp;hn
洱	;de;de;de;kq;ib;de;uh;uh
鲕	;ye;ae;ye;wl;qg;ee;ph;gh
耏	;ep;ep;pe;le;dm;ep;hp;hp
陑	;ee;ee;ee;tl;bd;ee;vh;eh
咡	;ke;ke;ke;dq;kb;ke;kh;kh
发	;vy;vd;ay;si;nt;vy;vd;vd
法	;dq;ds;dq;kk;if;dv;ut;ut
伐	;rg;rg;rg;jp;wa;rg;rh;rh
罚	;sd;sd;sd;yp;ly;sd;ss;so
阀	;mg;mg;mf;ap;uw;mg;dd;md
乏	;pv;pv;pv;tr;tp;pv;pd;pd
筏	;vg;vg;vf;rp;tw;vg;gd;gd
珐	;wq;ws;wq;nk;gf;wv;wt;wt
垡	;rt;rt;tf;jg;wa;rt;rt;rt
砝	;uq;us;uq;mk;df;uv;ht;bt
反	;py;py;py;xr;rc;py;pd;py
饭	;uy;uy;uf;qr;qn;uy;pp;sp
翻	;yf;px;yf;tz;to;fx;pv;pv
犯	;qv;qv;qe;mz;qt;qv;pv;qv
范	;cv;cv;ce,cf;lz;ai;cv;cv;cv
泛	;df;df;df;kr;it;df;up;up
凡	;jd;jd;dj,jd;oi;my;jd;pd;jd
番	;pt;pt;pt;tq;to;pt;ph;pt
烦	;hr;hr;hy;cw;od;hr;qh;qh
返	;zy;zy;zf;xu;rc;zy;pz;pz
帆	;jf;jf;jf;ri;mh;jf;sp;jj
藩	;ct;ct;cf,cp;lq;ai;ct;ch;cu
繁	;px;px;sm;ei;tx;mx;pi;pi
梵	;mf;mf;fl,mf;ei;ss;lf;md;md
樊	;md;md;dm;em;sq;ld;md;ml
贩	;by;ky;bf;or;mr;by;sp;bp
钒	;jf;jf;jf;zi;qm;jf;jp;jj
矾	;uf;uf;uf;mi;dm;uf;hp;bj
幡	;jt;jt;jf;rq;mh;jt;sp;jp
燔	;ht;ht;hf;cq;ot;ht;qp;qp
氾	;dv;dv;de;kz;ib;dv;uv;uv
蘩	;cx;cx;cf;li;at;cx;ci;ci
璠	;wt;wt;wf;nq;gt;wt;wp;wp
蹯	;zt;zt;zf;pq;kh;zt;zp;zp
畈	;ty;ty;tf;qr;lr;ty;sp;tp
墦	;tt;tt;tf;gq;ft;tt;tp;tp
𫔍	;jt;jt;jf;zq;qt;jt;
𬸪	;fn;pn;nf,fn;tx;to;fn;
放	;fw;fw;wf,fw;lh;yt;fw;dp;ww
方	;dw;dw;dw;lf;yy;wp;dp;wp
防	;ef;ef;ef;tl;by;ef;vd;ew
仿	;rf;rf;rf;jl;wy;rf;rd;rw
坊	;tf;tf;tf;gl;fy;tf;td;tw
芳	;cf;cf;cf;ll;ay;cf;cp;cp
访	;yf;yf;yf;sl;yy;yf;ad;aw
钫	;jf;jf;jf;zl;qy;jf;jd;jw
昉	;of;of;of;ol;jy;of;ld;lw
纺	;sf;sf;sf;il;xy;sf;id;iw
鲂	;yf;af;yf;wl;qg;ef;pd;gw
妨	;nf;nf;nf;bl;vy;nf;nd;nw
肪	;of;of;of;vl;ey;of;yd;yw
舫	;vf;vf;vf;il;te;vf;pd;vw
邡	;fe;fe;ef;lt;yb;fe;dv;we
牥	;nf;nf;nf;ql;tr;nf;pd;pw
非	;aa;la;aa;rf;dj;aa;ss;ss
费	;fb;fr;bf,fb;to;xj;fr;vr;gb
飞	;vd;vd;yd;cf;nu;vd;vd;vd
肺	;oj;ol;of,oj;vr;eg;oa;yh;yh
废	;gy;gd;gf;xi;yn;gy;dd;xd
肥	;ob;ob;ob;vm;ec;ob;yv;yv
菲	;cf;cf;cf;lr;ad;cf;ch;ch
匪	;kf;kf;kf;nr;ad;kf;hv;hv
绯	;sf;sf;sf;ir;xd;sf;is;is
斐	;fw;fw;wf;rv;dj;fx;sd;sc
吠	;kq;kq;kq;dm;kd;kq;kh;kl
沸	;df;df;df;kt;ix;df;uv;ug
啡	;kf;kf;kf;dr;kd;kf;ks;ks
霏	;yf;yf;yf;tr;fd;yf;hh;yh
榧	;mf;mf;mf;er;sa;lf;mh;mh
扉	;hf;hf;hf;mr;yn;hf;dh;dh
腓	;of;of;of;vr;ed;of;ys;ys
淝	;db;db;df;km;ie;db;uy;uy
蜚	;fi;fi;if;rc;dj;fi;so;so
镄	;jr;jr;jf;zo;qx;jr;jv;jg
诽	;yf;yf;yf;sr;yd;yf;as;as
痱	;bf;bf;bf;ar;ud;bf;dh;zh
翡	;fx;fx;yf;rz;dj;fx;sh;sh
狒	;qf;qf;qf;mt;qt;qf;pv;qg
鲱	;yf;af;yf;wr;qg;ef;ps;gs
悱	;xf;xf;xf;hr;nd;xf;xs;xs
芾	;cj;cl;cf,cj;lr;ag;ca;cs;cj
棐	;fm;fm;mf;re;dj;fl;sm;sm
剕	;fd;fd;df;rp;dj;fd;ss;so
篚	;vf;vf;vf;rr;ta;vf;gv;gv
𬴂	;mf;mf;mf;nr;cd;mf;
分	;bd;bd;bd,db;hp;wv;bd;pp;bo
粉	;md;md;mf;pp;ow;md;dp;db
坟	;tw;tw;tw;gv;fy;tx;td;tw
芬	;cd;cd;cf;lp;aw;cd;cp;co
粪	;mb;mb;mg;ph;oa;mb;dd;jb
焚	;mh;mh;hl;ec;ss;lh;mq;mq
汾	;dd;dd;df;kp;iw;dd;up;ub
酚	;yd;yd;yf;yp;sg;yd;hp;sb
忿	;bx;bx;xf;hh;wv;bx;px;bx
愤	;xb;xr;xb;ho;nf;xr;xh;xf
奋	;dt;dt;dt;mq;dl;dt;hh;lt
偾	;rb;rr;rb;jo;wf;rr;rh;rf
纷	;sd;sd;sf;ip;xw;sd;ip;ib
氛	;qd;qd;qf;vp;rn;qd;pp;po
棻	;cm;cm;cm,mf;le;aw;cl;cm;cm
棼	;mf;md;fl,mf;ep;ss;ld;mp;mo
鲼	;yb;ar;yb;wo;qg;er;ph;gf
瀵	;db;db;dg,dy;kh;io;db;ud;ud
翂	;xd;xd;yf;zp;nw;xd;vp;vb
吩	;kd;kd;kf;dp;kw;kd;kp;kb
鼢	;jd;jd;uf;pp;vn;jd;pp;pb
豮	;ub;ur;ub;jo;ef;ar;hh;hf
𣸣	;db;dr;db;ko;if;dr;uh;uf
风	;jx;jx;ji;ob;mq;jx;pd;pc
封	;tc;tc;cg;gk;ff;tc;th;tc
冯	;dm;dm;dm;wn;uc;dm;dv;dv
峰	;uf;ef;uf;va;mt;sf;sp;gw
疯	;bf;bx;bf;ab;um;bx;dd;zc
缝	;sf;sz;sf;iu;xt;sf;ip;iw
奉	;ff;fl;ff;au;dw;aa;hs;hs
逢	;zf;zf;zf;hu;td;zf;pz;wz
锋	;jf;jf;jf;za;qt;jf;jp;jw
丰	;aa;al;aa;af;dh;aa;hs;hs
凤	;jy;jy;jy;or;mc;jy;pd;py
枫	;mf;mx;mf;eb;sm;lx;mp;mp
蜂	;if;if;if;ca;jt;if;op;ow
俸	;rf;rl;rf;ju;wd;rf;rh;rh
沣	;df;df;df;ka;id;df;uh;uh
讽	;yf;yx;yf;sb;ym;yx;ap;ap
葑	;cc;cc;cf;lk;af;cc;cd;cc
沨	;df;dx;df;kb;im;dx;up;up
烽	;hf;hf;hf;ca;ot;hf;qp;qw
酆	;ef;ee;ed,ef;vt;dh;ae;sv;se
唪	;kf;kl;kf;du;kd;kf;kh;kh
砜	;uf;ux;uf;mb;dm;ux;hp;bp
崶	;uf;ec;uf;vk;mf;sc;sd;gc
赗	;bm;ko;bm;oq;mj;bm;sl;bl
否	;bk;bk;kb;cd;gi;bk;hk;hk
缶	;wk;pk,wk;pa,rk,wk;af;rm;wa;ps;pg
负	;db;dr;db;xo;qm;er;pr;gb
附	;ec;ec;ef;tk;bw;ec;vr;er
服	;oy;oy;oy;vr;eb;oy;yv;yv
付	;rc;rc;rc;jk;wf;rc;rh;rc
福	;pt;pt;uf,ut;fq;py;pt;dh;dh
府	;gc;gc;gf;xk;yw;gc;dd;xc
复	;pw;pw;rw,wo;eh;tj;pw;pd;pw
富	;bt;bt;bf,bt;wq;pg;gt;bh;bt
夫	;an;an;ad,er;hf;fw;an;hd;hl
赴	;tb;tb;zb;py;fh;tb;td;td
父	;bx;bx;bi,pd;hb;wq;bx;pd;bc
扶	;ff;ff;ff;uh;rf;ff;fh;fh
氟	;qf;qf;qf;vt;rn;qf;ps;ps
赋	;bw;kv;bw;os;mg;bg;sh;bh
弗	;vu;vl;aa,gd,vu;tf;xj;va;vs;gs
符	;vc;vc;vf;rk;tw;vc;gd;gc
伏	;rq;rq;rq;jm;wd;rq;rh;rl
傅	;rc;rc;rc,rf;jk;wg;rc;rh;rh
幅	;jt;jt;jf,jt;rq;mh;jt;sh;jh
敷	;fw;fw;wf;nh;ge;fw;hp;hw
芙	;cf;cf;cf;lh;af;cf;cd;cl
斧	;bj;bj;fj,jf;ht;wq;bj;ps;bs
釜	;fq;ba;fa,fj,fq;hz;wq;ba;ph;bh
腹	;ow;ow;of;vh;et;ow;yp;yp
浮	;dz;dz;df;kh;ie;dz;up;up
辅	;if;if;if;yn;lg;if;hh;ch
妇	;ne;ne;nx;bb;vv;na;nv;nx
甫	;ad;ad;ad;nf;ge;ad;hd;hd
覆	;xw;xw;xf;vh;st;xw;hd;sw
抚	;fw;fw;fw;ud;rf;fw;fh;fh
腐	;gr;gr;gr,rf;xj;yw;gr;dr;xr
缚	;sc;sc;sc,sf;ik;xg;sc;ih;ih
俘	;rz;rz;rf;jh;we;rz;rp;rp
俯	;rc;rc;rf;jk;wy;rc;rd;rx
腑	;oc;oc;of;vk;ey;oc;yd;yx
辐	;it;it;if,it;yq;lg;it;hh;ch
孚	;pz;pz;vz,zv;yh;eb;pz;ph;pz
孵	;lz;lz;lf;bh;qy;lz;pp;pp
阜	;pu;pu;pu,uk,vu;tn;wn;pu;ps;pf
凫	;nj;pj;jn,nj;xo;qy;pj;pv;pj
肤	;of;of;of;vh;ef;of;yh;yh
蝠	;it;it;if,it;cq;jg;it;oh;oh
祓	;py;pd;ub,uy;fi;py;py;dh;dh
脯	;of;of;of;vn;eg;of;yh;yh
芣	;cb;cb;cb;lc;ag;cb;cd;cd
黼	;yf;yf;fb,yf;cn;og;yf;sh;sh
鄜	;ge;ge;el;xt;yn;ge;dv;xe
馥	;hw;hw;hf,xf;xh;tj;hw;ep;ep
涪	;dk;dk;dk,dp;kd;iu;dk;ud;uw
桴	;mz;mz;mf;eh;se;lz;mp;mp
黻	;yy;yd;bb,yb,yy;ci;og;yy;sh;sh
苻	;cc;cc;cf;lk;aw;cc;cd;cc
拊	;fc;fc;ff;uk;rw;fc;fr;fr
麸	;ff;ff;mf;ah;gt;mf;hh;qh
郛	;pe;pe;ef;yt;eb;pe;pv;pe
玞	;wf;wf;wf;nh;gf;wf;wh;wh
簠	;vm;vm;vf,vm;ra;tg;vm;gh;gh
绂	;sy;sd;sb,sy;ii;xd;sy;ih;ih
宓	;bb;bb;bb;wt;pn;gb;bp;bd
跗	;zc;zc;zf;pk;kh;zc;zr;zr
茯	;cq;cq;cf;lm;aw;cq;cd;cd
赙	;bc;kc;bc,bf;ok;mg;bc;sh;bh
趺	;zf;zf;zf;ph;kh;zf;zh;zh
茀	;cf;cf;cf;lt;ax;cf;cs;cs
蝮	;iw;iw;if;ch;jt;iw;op;op
稃	;hz;hz;hf;xh;te;hz;ep;ep
匐	;bt;bt;gf,gt;nq;qg;pt;ph;bt
罘	;sb;sb;sb;yc;lg;sb;sd;sd
驸	;mc;mc;mf;nk;cw;mc;vr;vr
怫	;xf;xf;xf;ht;nx;xf;xv;xg
呋	;kf;kf;kf;dh;kf;kf;kh;kh
袱	;pq;pq;yf;tm;pu;pq;dr;dr
洑	;dq;dq;df;km;iw;dq;ur;ur
鲋	;yf;ac;yf;wk;qg;ec;pr;gr
菔	;cy;cy;cf;lr;ae;cy;cd;cy
